County,Precinct,Combined,Precinct ID,Delegates,Commit Goal,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold,Precinct Captains,MSQ Yang Support -1's,MSQ Yang Support - 2's,Total Support,298 Turnout
Adair,01nw,Adair 01nw,948199,8,18,14,6,1,7.10%,17,0,0,4,5,90
Adair,02ne,Adair 02ne,948200,11,23,19,9,0,0.00%,23,0,0,9,9,124
Adair,03sw,Adair 03sw,948201,9,19,15,7,1,6.70%,18,1,2,6,9,98
Adair,04se,Adair 04se,948202,10,19,15,7,1,6.70%,18,1,0,7,8,96
Adair,05gf,Adair 05gf,948203,13,31,26,12,1,3.80%,30,1,3,7,11,170
Adams,Ad1,Adams Ad1,1593415,8,15,12,6,0,0.00%,15,0,1,3,4,80
Adams,Ad2,Adams Ad2,1593416,7,12,10,4,0,0.00%,12,0,0,1,1,60
Adams,Ad3,Adams Ad3,1593417,8,26,20,9,0,0.00%,26,0,0,1,1,132
Adams,Ad4,Adams Ad4,1593418,7,8,7,3,0,0.00%,8,0,0,1,1,42
Adams,Ad5,Adams Ad5,1593419,5,6,5,2,0,0.00%,6,0,0,0,0,29
Allamakee,Pct 1,Allamakee Pct 1,948208,4,9,7,3,0,0.00%,9,0,0,9,9,42
Allamakee,Pct 10,Allamakee Pct 10,948209,9,20,15,7,0,0.00%,20,0,0,6,6,98
Allamakee,Pct 11,Allamakee Pct 11,948210,9,23,17,8,0,0.00%,23,0,0,7,7,111
Allamakee,Pct 2,Allamakee Pct 2,948211,14,22,16,7,0,0.00%,22,0,1,11,12,106
Allamakee,Pct 3,Allamakee Pct 3,948212,3,2,2,1,0,0.00%,2,0,0,2,2,10
Allamakee,Pct 4,Allamakee Pct 4,948213,8,12,10,4,0,0.00%,12,0,0,4,4,60
Allamakee,Pct 5,Allamakee Pct 5,948214,4,9,7,3,0,0.00%,9,0,1,2,3,46
Allamakee,Pct 6,Allamakee Pct 6,948215,7,18,14,6,0,0.00%,18,0,0,0,0,90
Allamakee,Pct 7,Allamakee Pct 7,948216,18,42,33,15,0,0.00%,42,0,0,6,6,215
