County ,Precinct ,Combined ,Precinct ID,Delegates,Commit Goal ,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold ,Precinct Captains,MSQ Yang Support -1's ,MSQ Yang Support - 2's,Total Support,Weighted Support
Adair,01nw,Adair 01nw,948199,8,18,14,6,1,7.1%,17,0,0,4,5,3
Adair,02ne,Adair 02ne,948200,11,23,19,9,0,0.0%,23,0,1,10,11,5.5
Adair,03sw,Adair 03sw,948201,9,19,15,7,2,13.3%,17,1,3,7,12,6.5
Adair,04se,Adair 04se,948202,10,19,15,7,1,6.7%,18,1,1,7,9,5
Adair,05gf,Adair 05gf,948203,13,31,26,12,2,7.7%,29,1,3,8,13,8
Adams,Ad1,Adams Ad1,1593415,8,15,12,6,0,0.0%,15,0,1,3,4,2.5
Adams,Ad2,Adams Ad2,1593416,7,12,10,4,0,0.0%,12,0,0,1,1,0.5
Adams,Ad3,Adams Ad3,1593417,8,26,20,9,0,0.0%,26,0,0,1,1,0.5
Adams,Ad4,Adams Ad4,1593418,7,8,7,3,0,0.0%,8,0,0,1,1,0.5
Adams,Ad5,Adams Ad5,1593419,5,6,5,2,0,0.0%,6,0,0,0,0,0
Allamakee,Pct 1,Allamakee Pct 1,948208,4,9,7,3,0,0.0%,9,0,0,10,10,5
Allamakee,Pct 10,Allamakee Pct 10,948209,9,20,15,7,0,0.0%,20,0,0,7,7,3
Allamakee,Pct 11,Allamakee Pct 11,948210,9,23,17,8,2,11.8%,21,0,0,7,9,5
Allamakee,Pct 2,Allamakee Pct 2,948211,14,22,16,7,0,0.0%,22,0,1,14,15,8
Allamakee,Pct 3,Allamakee Pct 3,948212,3,2,2,1,0,0.0%,2,0,0,2,2,1
Allamakee,Pct 4,Allamakee Pct 4,948213,8,12,10,4,0,0.0%,12,0,0,4,4,2
Allamakee,Pct 5,Allamakee Pct 5,948214,4,9,7,3,0,0.0%,9,0,1,2,3,2
Allamakee,Pct 6,Allamakee Pct 6,948215,7,18,14,6,0,0.0%,18,0,0,5,5,0.5
Allamakee,Pct 7,Allamakee Pct 7,948216,18,42,33,15,1,3.0%,41,0,1,7,9,4.5
Allamakee,Pct 8,Allamakee Pct 8,948217,5,13,10,4,0,0.0%,13,0,1,2,3,1.5
Allamakee,Pct 9,Allamakee Pct 9,948218,9,19,14,6,0,0.0%,19,0,2,8,10,6
Appanoose,Bl,Appanoose Bl,946557,4,14,11,5,0,0.0%,14,0,1,1,2,1.5
Appanoose,Cv1,Appanoose Cv1,946558,13,30,23,10,0,0.0%,30,0,2,4,6,4
Appanoose,Cv2,Appanoose Cv2,946559,11,23,18,8,1,5.6%,22,0,1,4,6,4
Appanoose,Cv3,Appanoose Cv3,946560,10,21,16,7,0,0.0%,21,0,0,0,0,0
Appanoose,Cw,Appanoose Cw,946561,2,6,5,6,0,0.0%,6,0,0,0,0,0
Appanoose,Jo,Appanoose Jo,946562,4,10,8,3,0,0.0%,10,0,0,0,0,0
Appanoose,Ps,Appanoose Ps,946563,5,11,9,4,0,0.0%,11,0,1,1,2,1.5
Appanoose,Ty,Appanoose Ty,946564,7,17,13,6,0,0.0%,17,0,1,0,1,1.5
Appanoose,Ud,Appanoose Ud,946565,4,12,9,4,0,0.0%,12,0,0,0,0,0
Appanoose,Vm,Appanoose Vm,946567,6,11,9,4,0,0.0%,11,0,0,2,2,1
Appanoose,Walnut,Appanoose Walnut,1950003,5,12,10,4,0,0.0%,12,0,1,3,4,2.5
Appanoose,Ws,Appanoose Ws,946569,4,7,5,2,0,0.0%,7,0,0,2,2,1
Audubon,1,Audubon 01,946570,15,48,36,17,3,8.3%,45,0,5,10,18,12
Audubon,2,Audubon 02,946571,15,40,30,14,0,0.0%,40,0,1,6,7,4
Benton,Bg,Benton Bg,946574,9,16,12,5,0,0.0%,16,0,0,4,4,2
Benton,Bn,Benton Bn,946575,22,44,34,15,0,0.0%,44,0,3,1,4,3.5
Benton,Bp1,Benton Bp1,946576,6,12,10,4,0,0.0%,12,0,0,3,3,1.5
Benton,Bp2,Benton Bp2,946577,5,8,7,3,0,0.0%,8,0,0,0,0,0
Benton,Bp3,Benton Bp3,946578,6,7,6,3,1,16.7%,6,0,0,0,1,1
Benton,Br,Benton Br,946579,5,7,6,2,0,0.0%,7,0,0,0,0,0
Benton,Ed,Benton Ed,946580,10,18,15,7,0,0.0%,18,0,1,0,1,1
Benton,El,Benton El,946581,10,13,10,4,0,0.0%,13,0,1,4,5,3
Benton,Fl,Benton Fl,946582,12,14,11,5,0,0.0%,14,0,1,2,3,2
Benton,Fr,Benton Fr,946583,22,35,27,12,0,0.0%,35,0,4,4,8,6
Benton,Ho,Benton Ho,946584,6,9,7,3,0,0.0%,9,0,0,1,1,1
Benton,Ia,Benton Ia,946585,10,16,12,5,2,16.7%,14,0,1,4,7,3.5
Benton,Ka,Benton Ka,946586,6,9,7,3,1,14.3%,8,1,0,1,2,1.5
Benton,Po,Benton Po,946587,20,49,38,17,0,0.0%,49,0,2,4,6,4
Benton,Vt1,Benton Vt1,946588,12,23,18,8,0,0.0%,23,0,1,4,5,3
Benton,Vt2,Benton Vt2,946589,8,15,12,5,1,8.3%,14,0,0,3,4,2
Benton,Vt3,Benton Vt3,946590,11,22,17,7,1,5.9%,21,0,0,4,5,2
Benton,Vt4,Benton Vt4,946591,10,15,11,5,0,0.0%,15,0,0,2,2,1
Benton,Wa,Benton Wa,946592,10,11,9,4,0,0.0%,11,0,3,1,4,3.5
Black Hawk,Aloo,Black Hawk Aloo,1593422,5,18,13,6,1,7.7%,17,0,2,7,10,6.5
Black Hawk,B000,Black Hawk B000,946594,1,4,3,1,0,0.0%,4,0,2,1,3,2.5
Black Hawk,C000,Black Hawk C000,1593423,8,32,24,11,0,0.0%,32,0,5,0,5,5
Black Hawk,Dk00,Black Hawk Dk00,1593424,7,26,21,9,0,0.0%,26,0,2,4,6,3.5
Black Hawk,Dm00,Black Hawk Dm00,1593425,10,37,28,13,2,7.1%,35,1,7,23,32,19
Black Hawk,Eo00,Black Hawk Eo00,1593426,7,21,16,7,0,0.0%,21,0,0,7,7,3.5
Black Hawk,G000,Black Hawk G000,1593427,1,6,5,2,0,0.0%,6,0,0,1,1,0.5
Black Hawk,J100,Black Hawk J100,946600,4,15,12,5,0,0.0%,15,0,0,3,3,1.5
