City,Precinct,Total People
Ackworth,Un,1
Adair,01nw,1
Adel,Ads,1
Adel,Al2,2
Adel,Vm,1
Akron,Bv,1
Albert City,Acfc,2
Albia,Cthse,1
Algona,Al2,3
Alta,Alne,3
Altoona,Alt 2,2
Altoona,Alt 3,2
Altoona,Alt 4,1
Ames,1,4
Ames,2,8
Ames,3,3
Ames,4,5
Ames,5,2
Ames,6,8
Ames,7,6
Ames,8,4
Ames,9,6
Ames,10,4
Ames,11,6
Ames,12,2
Ames,13,6
Ames,14,3
Ames,15,2
Ames,16,7
Ames,17,4
Ames,18,7
Ames,19,5
Ames,20,6
Anamosa,Fv,1
Ankeny,Ank 01,6
Ankeny,Ank 02,1
Ankeny,Ank 03,1
Ankeny,Ank 04,3
Ankeny,Ank 05,2
Ankeny,Ank 07,1
Ankeny,Ank 08,2
Ankeny,Ank 09,3
Ankeny,Ank 12,3
Ankeny,Ank 14,3
Ankeny,Ank 15,1
Ankeny,Crock 1,1
Ankeny,Crock 2,1
Asbury,32,1
Atalissa,Go,1
Audubon,1,4
Avoca,Avoca,1
Badger,Bd/Nwc,1
Barnum,Jo,1
Baxter,Imm,8
Beaman,Li,1
Bedford,Becity,4
Belmond,Bm,1
Bernard,4,1
Berwick,Del 1,1
Bettendorf,B11,7
Bettendorf,B12,1
Bettendorf,B21,3
Bettendorf,B22,3
Bettendorf,B23,2
Bettendorf,B31,3
Bettendorf,B42,8
Bettendorf,B51,4
Blairstown,Ia,2
Blue Grass,Bu,1
Bondurant,Bond 1,1
Bondurant,Douglas,1
Boone,Bn3,1
Boone,Bn4,2
Boone,Rp4,1
Burlington,Bu1t,1
Burlington,Bu2,6
Burlington,Bu3,10
Burlington,Bu4,3
Burlington,Bu5,7
Burlington,Bu7,13
Burlington,Bu8c,3
Burlington,Bu9,5
Burlington,Hj,1
Camanche,Cam1,2
Carlisle,Al3,2
Carroll,1,1
Carroll,2,4
Carroll,3,2
Carroll,4,2
Carter Lake,Cl 1,1
Carter Lake,Cl 2,3
Casey,1,1
Cedar Falls,X102,3
Cedar Falls,X103,3
Cedar Falls,X201,1
Cedar Falls,X202,4
Cedar Falls,X203,1
Cedar Falls,X301,1
Cedar Falls,X303,1
Cedar Falls,X401,3
Cedar Falls,X402,1
Cedar Falls,X403,1
Cedar Falls,X502,1
Cedar Falls,X503,1
Cedar Rapids,Cr01,2
Cedar Rapids,Cr02,3
Cedar Rapids,Cr03,2
Cedar Rapids,Cr04,6
Cedar Rapids,Cr05,4
Cedar Rapids,Cr06,1
Cedar Rapids,Cr07,1
Cedar Rapids,Cr08,4
Cedar Rapids,Cr09,7
Cedar Rapids,Cr11,4
Cedar Rapids,Cr12,1
Cedar Rapids,Cr13,2
Cedar Rapids,Cr14,4
Cedar Rapids,Cr15,1
Cedar Rapids,Cr16,1
Cedar Rapids,Cr17,4
Cedar Rapids,Cr18,1
Cedar Rapids,Cr19,3
Cedar Rapids,Cr20,3
Cedar Rapids,Cr21,3
Cedar Rapids,Cr22,1
Cedar Rapids,Cr23,1
Cedar Rapids,Cr24,1
Cedar Rapids,Cr25,1
Cedar Rapids,Cr26,6
Cedar Rapids,Cr27,6
Cedar Rapids,Cr28,2
Cedar Rapids,Cr29,5
Cedar Rapids,Cr30,2
Cedar Rapids,Cr31,2
Cedar Rapids,Cr32,1
Cedar Rapids,Cr33,4
Cedar Rapids,Cr34,2
Cedar Rapids,Cr35,3
Cedar Rapids,Cr36,4
Cedar Rapids,Cr37,3
Cedar Rapids,Cr38,1
Cedar Rapids,Cr39,4
Cedar Rapids,Cr41,4
Cedar Rapids,Cr42,4
Cedar Rapids,Cr43,2
Cedar Rapids,Tber,1
Cedar Rapids,Tcli,1
Cedar Rapids,Tcol,1
Cedar Rapids,Tmon2,2
Center Point,Twas,1
Centerville,Cv2,3
Centerville,Vm,1
Chariton,Ex,1
Chariton,Wm,1
Charles City,Cc1,1
Charles City,Cc2,2
Charles City,Cc3,3
Charles City,Flceni,1
Charles City,Scrv,1
Charlotte,Wfch,1
Charter Oak,Co,1
Cherokee,5 Ch W1,2
Cherokee,6 Ch W2,1
Clarence,Da,1
Clarinda,Cl1,1
Clear Lake,Cl,1
Clear Lake,Cl1,1
Clear Lake,Cl2,3
Clear Lake,Cl3,2
Clinton,Cl11,2
Clinton,Cl12,1
Clinton,Cl21,6
Clinton,Cl22,3
Clinton,Cl31,1
Clinton,Cl41,3
Clinton,Cl42,3
Clive,Cl5,3
Clive,Cl6,4
Clive,Clive 1,1
Clive,Clive 2,2
Clive,Clive 3,2
