County ,Precinct ,Combined ,Precinct ID,Region,Delegates,Commit Goal ,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold ,Precinct Captains,MSQ Yang Support -1's ,MSQ Yang Support - 2's,Total Support,Weighted Support,298 Turnout,2020 Turnout Prediction,True Commit Goal 
Adair,01nw,Adair 01nw,948199,2,8,17,14,8,2,14.3%,15,0,0,4,6,3.9,90,110,17
Adair,02ne,Adair 02ne,948200,2,11,17,19,8,0,0.0%,17,0,1,12,13,6.4,124,107,16
Adair,03sw,Adair 03sw,948201,2,9,16,15,8,2,13.3%,14,1,3,10,15,6.1,98,101,15
Adair,04se,Adair 04se,948202,2,10,17,15,8,1,6.7%,16,1,1,9,11,5.85,96,107,16
Adair,05gf,Adair 05gf,948203,2,13,21,26,10,6,23.1%,15,1,3,9,18,11.4,170,134,20
Adams,Ad1,Adams Ad1,1593415,2,8,10,12,5,0,0.0%,10,0,1,3,4,2.4,80,62,9
Adams,Ad2,Adams Ad2,1593416,2,7,10,10,5,0,0.0%,10,0,0,1,1,0.5,60,64,10
Adams,Ad3,Adams Ad3,1593417,2,8,10,20,5,0,0.0%,10,0,0,3,3,1.5,132,61,9
Adams,Ad4,Adams Ad4,1593418,2,7,10,7,5,0,0.0%,10,0,0,1,1,0.5,42,61,9
Adams,Ad5,Adams Ad5,1593419,2,5,8,5,4,1,20.0%,7,0,0,1,2,1.45,29,53,8
Allamakee,Pct 1,Allamakee Pct 1,948208,1,4,7,7,3,0,0.0%,7,0,1,10,11,5.9,42,42,6
Allamakee,Pct 10,Allamakee Pct 10,948209,1,9,17,15,8,1,6.7%,16,1,0,12,13,6.95,98,110,17
Allamakee,Pct 11,Allamakee Pct 11,948210,1,9,15,17,7,1,5.9%,14,0,0,8,9,4.95,111,100,15
Allamakee,Pct 2,Allamakee Pct 2,948211,1,14,26,16,12,1,6.3%,25,1,3,18,22,13.15,106,168,25
Allamakee,Pct 3,Allamakee Pct 3,948212,1,3,6,2,3,1,50.0%,5,0,0,2,3,1.45,10,40,6
Allamakee,Pct 4,Allamakee Pct 4,948213,1,8,13,10,6,2,20.0%,11,1,3,14,19,9.1,60,82,12
Allamakee,Pct 5,Allamakee Pct 5,948214,1,4,10,7,5,0,0.0%,10,0,1,4,5,2.4,46,61,9
