County,Precinct Name,Location Name,Address,City,State,Zip,Lat,Lng,Accuracy Score,VANPCTCODE
Adair,1NW,ADAIR CITY HALL,320 AUDUBON ST,ADAIR,IA,50002,41.50035,-94.6421,1,948199
Adair,2NE,STUART COMMUNITY CARE CENTER,325 SW 7TH ST,STUART,IA,50250,41.49745,-94.3226,1,948200
Adair,3SW,FONTANELLE COMMUNITY CENTER,318 WASHINGTON ST,FONTANELLE,IA,50846,41.28975,-94.5637,1,948201
Adair,4SE,ORIENT-MACKSBURG SCHOOL CAFETERIA,201 SCHOOL ST,ORIENT,IA,50858,41.19951,-94.4147,1,948202
Adair,5GF,NODAWAY VALLEY HIGH SCHOOL,410 NW 2ND ST,GREENFIELD,IA,50849,41.3081,-94.4628,1,948203
Adams,Adams 1,"SOUTHWEST VALLEY HIGH SCHOOL, CAFETERIA",904 8TH ST,CORNING,IA,50841,40.99015,-94.7394,1,1593415
Adams,Adams 2,REDEEMER LUTHERAN CHURCH,800 17TH ST,CORNING,IA,50841,40.99868,-94.7373,1,1593416
Adams,Adams 3,CORNING PUBLIC LIBRARY,603 9TH ST,CORNING,IA,50841,40.99077,-94.7352,1,1593417
Adams,Adams 4,NODAWAY COMMUNITY BUILDING,300 7TH AVE,NODAWAY,IA,50857,40.93711,-94.8941,1,1593418
Adams,Adams 5,PRESCOTT PUBLIC LIBRARY,607 2ND ST,PRESCOTT,IA,50859,41.02309,-94.6101,1,1593419
Allamakee,Pct 01 - WL/HV,WINGS SUPPER CLUB,606 WATERLOO CREEK DRIVE,DORCHESTER,IA,52140,43.47904,-91.5182,1,948208
Allamakee,Pct 10 - Waukon 2,"EAST ELEMENTARY SCHOOL, CAFETERIA",107 SIXTH STREET NW,WAUKON,IA,52172,43.29003,-91.4458,0.33,948209
Allamakee,Pct 11 - Waukon 3,"WEST ELEMENTARY SCHOOL, GYM",953 THIRD AVE NW,WAUKON,IA,52172,43.27204,-91.489,1,948210
Allamakee,Pct 02 - FC/JF/LL/MK/UP,"WAUKON MIDDLE SCHOOL, CAFETERIA",1059 3RD AVE NW,WAUKON,IA,52172,43.27204,-91.4905,1,948211
Allamakee,Pct 03 - PO/FK,POSTVILLE FINE ARTS CENTER A,314 W POST ST,POSTVILLE,IA,52162,43.08331,-91.5733,1,948212
