Candidate,Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
Biden,"416 Douglas Ave., Ste. 205",Ames,IA,50010,42.025743,-93.611794,1,rooftop,416,"Douglas Ave",Ames,IA,"Story County",50010,US,Polk
Buttigieg,"823 Wheeler St., Ste 3",Ames,IA,50010,42.054617,-93.622604,1,rooftop,823,"Wheeler St",Ames,IA,"Story County",50010,US,Polk
Klobuchar,"725 24th St.",Ames,IA,50010,42.045872,-93.620702,1,range_interpolation,725,"24th St",Ames,IA,"Story County",50010,US,"TIGER/Line® dataset from the US Census Bureau"
Sanders,"114 Kellogg Ave",Ames,IA,50010,42.023477,-93.613221,1,rooftop,114,"Kellogg Ave",Ames,IA,"Story County",50010,US,Polk
Steyer,"410 5th St",Ames,IA,50010,42.025681,-93.61613,1,rooftop,410,"5th St",Ames,IA,"Story County",50010,US,Polk
Warren,"3515 Lincoln Way, Ste. 102",Ames,IA,50014,42.023338,-93.666818,1,rooftop,3515,"Lincoln Way",Ames,IA,"Story County",50014,US,Polk
Yang,"219 Main St.",Ames,IA,50010,42.025373,-93.61292,1,rooftop,219,"Main St",Ames,IA,"Story County",50010,US,Polk
Biden,"405 Jefferson St",Burlington,IA,52601,40.810038,-91.104259,1,rooftop,405,"Jefferson St",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
Buttigieg,"218 Jefferson St.",Burlington,IA,52601,40.810208,-91.102432,1,rooftop,218,"Jefferson St",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
Klobuchar,"1000 N. Roosevelt Ave",Burlington,IA,52601,40.818729,-91.140772,1,rooftop,1000,"N Roosevelt Ave",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
Warren,"1125 S. 12th St.",Burlington,IA,52601,40.795552,-91.111192,1,rooftop,1125,"S 12th St",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
Yang,"320 N 4th St.",Burlington,IA,52601,40.810801,-91.103392,1,rooftop,320,"N 4th St",Burlington,IA,"Des Moines County",52601,US,"Des Moines"
Biden,"311 E 6th St",Carroll,IA,51401,42.064824,-94.863808,1,rooftop,311,"E 6th St",Carroll,IA,"Carroll County",51401,US,Carroll
Buttigieg,"510 N Carroll St",Carroll,IA,51401,42.065849,-94.87024,1,range_interpolation,510,"N Carroll St",Carroll,IA,"Carroll County",51401,US,"TIGER/Line® dataset from the US Census Bureau"
Sanders,"820 W. 8th St.",Carroll,IA,51401,42.070174,-94.875976,1,range_interpolation,820,"W 8th St",Carroll,IA,"Carroll County",51401,US,"TIGER/Line® dataset from the US Census Bureau"
Steyer,"409 W. 7th St.",Carroll,IA,51401,42.067893,-94.87151,1,rooftop,409,"W 7th St",Carroll,IA,"Carroll County",51401,US,Carroll
Warren,"210 E. 5th St",Carroll,IA,51401,42.064036,-94.865886,1,rooftop,210,"E 5th St",Carroll,IA,"Carroll County",51401,US,Carroll
Biden,"3621 1st Ave. NE.","Cedar Rapids",IA,,42.015009,-91.63492,1,range_interpolation,3621,"1st Ave NE","Cedar Rapids",IA,"Linn County",52402,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"1019 1st Ave. SW","Cedar Rapids",IA,,41.971991,-91.685072,1,rooftop,1019,"1st Ave SW","Cedar Rapids",IA,"Linn County",52404,US,Linn
Klobuchar,"3245 Williams Parkway, Ste. 2","Cedar Rapids",IA,,41.958511,-91.712441,0.9,rooftop,3245,"Williams Pkwy SW","Cedar Rapids",IA,"Linn County",52404,US,Linn
Sanders,"3223 16th Ave. SW","Cedar Rapids",IA,,41.963301,-91.713966,1,range_interpolation,3223,"16th Ave SW","Cedar Rapids",IA,"Linn County",52404,US,"TIGER/Line® dataset from the US Census Bureau"
Steyer,"1239 1st Ave. SE, Ste. G","Cedar Rapids",IA,,41.985369,-91.657038,1,range_interpolation,1239,"1st Ave SE","Cedar Rapids",IA,"Linn County",52402,US,"TIGER/Line® dataset from the US Census Bureau"
Warren,"222 2nd St.","Cedar Rapids",IA,,41.974867,-91.673827,0.8,range_interpolation,222,"2nd St SW","Cedar Rapids",IA,"Linn County",52404,US,"TIGER/Line® dataset from the US Census Bureau"
Yang,"310 3rd St SE","Cedar Rapids",IA,,41.97767,-91.665632,1,range_interpolation,310,"3rd St SE","Cedar Rapids",IA,"Linn County",52401,US,"TIGER/Line® dataset from the US Census Bureau"
Biden,"415 S Second St",Clinton,IA,,41.841372,-90.188095,1,range_interpolation,415,"S 2nd St",Clinton,IA,"Clinton County",52732,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"83 Main Ave",Clinton,IA,,41.872017,-90.17726,1,range_interpolation,83,"Main Ave",Clinton,IA,"Clinton County",52732,US,"TIGER/Line® dataset from the US Census Bureau"
Warren,"201 5th Ave S",Clinton,IA,,41.841361,-90.188244,1,range_interpolation,201,"5th Ave S",Clinton,IA,"Clinton County",52732,US,"TIGER/Line® dataset from the US Census Bureau"
Biden,"526 W Broadway","Council Bluffs",IA,,41.261195,-95.850649,1,range_interpolation,526,"W Broadway","Council Bluffs",IA,"Pottawattamie County",51503,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"29 S Main St","Council Bluffs",IA,,41.259918,-95.849916,1,rooftop,29,"S Main St","Council Bluffs",IA,"Pottawattamie County",51503,US,Pottawattamie
Klobuchar,"136 S Main St","Council Bluffs",IA,,41.259167,-95.850348,1,range_interpolation,136,"S Main St","Council Bluffs",IA,"Pottawattamie County",51503,US,"TIGER/Line® dataset from the US Census Bureau"
Sanders,"217 S Main St","Council Bluffs",IA,,41.258245,-95.850299,1,range_interpolation,217,"S Main St","Council Bluffs",IA,"Pottawattamie County",51503,US,"TIGER/Line® dataset from the US Census Bureau"
Steyer,"500 Willow Ave","Council Bluffs",IA,,41.258601,-95.850893,1,rooftop,500,"Willow Ave","Council Bluffs",IA,"Pottawattamie County",51503,US,Pottawattamie
Warren,"103 North Ave","Council Bluffs",IA,,41.272195,-95.831035,1,rooftop,103,"North Ave","Council Bluffs",IA,"Pottawattamie County",51503,US,Pottawattamie
Yang,"118 W Broadway","Council Bluffs",IA,,41.263047,-95.844431,1,rooftop,118,"W Broadway","Council Bluffs",IA,"Pottawattamie County",51503,US,Pottawattamie
Buttigieg,"509 W Taylor St",Creston,IA,,41.049028,-94.366545,1,range_interpolation,509,"W Taylor St",Creston,IA,"Union County",50801,US,"TIGER/Line® dataset from the US Census Bureau"
Warren,"216 W. Montgomery St",Creston,IA,,41.0584,-94.362856,1,range_interpolation,216,"W Montgomery St",Creston,IA,"Union County",50801,US,"TIGER/Line® dataset from the US Census Bureau"
Biden,"1706 Brady St",Davenport,IA,,41.537314,-90.574175,1,range_interpolation,1706,"Brady St",Davenport,IA,"Scott County",52803,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"736 Federal St",Davenport,IA,,41.52489,-90.563251,1,range_interpolation,736,"Federal St",Davenport,IA,"Scott County",52803,US,"TIGER/Line® dataset from the US Census Bureau"
Klobuchar,"583 E 53rd St.",Davenport,IA,,41.574409,-90.567723,1,range_interpolation,583,"E 53rd St",Davenport,IA,"Scott County",52807,US,"TIGER/Line® dataset from the US Census Bureau"
Sanders,"4436 N Brady St",Davenport,IA,,41.566849,-90.56794,1,range_interpolation,4436,"N Brady St",Davenport,IA,"Scott County",52806,US,"TIGER/Line® dataset from the US Census Bureau"
Steyer,"1706 Brady St",Davenport,IA,,41.537314,-90.574175,1,range_interpolation,1706,"Brady St",Davenport,IA,"Scott County",52803,US,"TIGER/Line® dataset from the US Census Bureau"
Warren,"1706 Brady St",Davenport,IA,,41.537314,-90.574175,1,range_interpolation,1706,"Brady St",Davenport,IA,"Scott County",52803,US,"TIGER/Line® dataset from the US Census Bureau"
Yang,"1706 Brady St",Davenport,IA,,41.537314,-90.574175,1,range_interpolation,1706,"Brady St",Davenport,IA,"Scott County",52803,US,"TIGER/Line® dataset from the US Census Bureau"
Biden,"208 W Water St",Decorah,IA,,43.304244,-91.787575,1,rooftop,208,"W Water St",Decorah,IA,"Winneshiek County",52101,US,Winneshiek
Buttigieg,"128 W Water St",Decorah,IA,,43.304318,-91.786837,1,range_interpolation,128,"W Water St",Decorah,IA,"Winneshiek County",52101,US,"TIGER/Line® dataset from the US Census Bureau"
Sanders,"118 Winnebago St",Decorah,IA,,43.303429,-91.787081,1,rooftop,118,"Winnebago St",Decorah,IA,"Winneshiek County",52101,US,Winneshiek
