Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"320 AUDUBON ST",ADAIR,IA,50002,41.500345,-94.642054,1,rooftop,320,"Audubon St",Adair,IA,"Adair County",50002,US,Adair
"325 SW 7TH ST",STUART,IA,50250,41.497449,-94.322579,1,rooftop,325,"SW 7th St",Stuart,IA,"Adair County",50250,US,Adair
"318 WASHINGTON ST",FONTANELLE,IA,50846,41.289751,-94.5637,1,range_interpolation,318,"Washington St",Fontanelle,IA,"Adair County",50846,US,"TIGER/Line® dataset from the US Census Bureau"
"201 SCHOOL ST",ORIENT,IA,50858,41.199509,-94.41465,1,range_interpolation,201,"School St",Orient,IA,"Adair County",50858,US,"TIGER/Line® dataset from the US Census Bureau"
"410 NW 2ND ST",GREENFIELD,IA,50849,41.308096,-94.462753,1,range_interpolation,410,"NW 2nd St",Greenfield,IA,"Adair County",50849,US,"TIGER/Line® dataset from the US Census Bureau"
"904 8TH ST",CORNING,IA,50841,40.990154,-94.739368,1,range_interpolation,904,"8th St",Corning,IA,"Adams County",50841,US,"TIGER/Line® dataset from the US Census Bureau"
"800 17TH ST",CORNING,IA,50841,40.998677,-94.737309,1,range_interpolation,800,"17th St",Corning,IA,"Adams County",50841,US,"TIGER/Line® dataset from the US Census Bureau"
"603 9TH ST",CORNING,IA,50841,40.990767,-94.73515,1,range_interpolation,603,"9th St",Corning,IA,"Adams County",50841,US,"TIGER/Line® dataset from the US Census Bureau"
"300 7TH AVE",NODAWAY,IA,50857,40.937111,-94.894116,1,range_interpolation,300,"7th Ave",Nodaway,IA,"Adams County",50857,US,"TIGER/Line® dataset from the US Census Bureau"
"607 2ND ST",PRESCOTT,IA,50859,41.023093,-94.610123,1,range_interpolation,607,"2nd St",Prescott,IA,"Adams County",50859,US,"TIGER/Line® dataset from the US Census Bureau"
"606 WATERLOO CREEK DRIVE",DORCHESTER,IA,52140,43.479041,-91.518196,1,range_interpolation,606,"Waterloo Creek Dr",Dorchester,IA,"Allamakee County",52140,US,"TIGER/Line® dataset from the US Census Bureau"
"107 SIXTH STREET NW",WAUKON,IA,52172,43.290026,-91.445754,0.33,place,,,Waukon,IA,"Allamakee County",52172,US,"TIGER/Line® dataset from the US Census Bureau"
"953 THIRD AVE NW",WAUKON,IA,52172,43.272036,-91.489,1,range_interpolation,953,"3rd Ave NW",Waukon,IA,"Allamakee County",52172,US,"TIGER/Line® dataset from the US Census Bureau"
"1059 3RD AVE NW",WAUKON,IA,52172,43.272043,-91.490486,1,range_interpolation,1059,"3rd Ave NW",Waukon,IA,"Allamakee County",52172,US,"TIGER/Line® dataset from the US Census Bureau"
"314 W POST ST",POSTVILLE,IA,52162,43.083309,-91.57328,1,range_interpolation,314,"W Post St",Postville,IA,"Allamakee County",52162,US,"TIGER/Line® dataset from the US Census Bureau"
"314 W POST ST",POSTVILLE,IA,52162,43.083309,-91.57328,1,range_interpolation,314,"W Post St",Postville,IA,"Allamakee County",52162,US,"TIGER/Line® dataset from the US Census Bureau"
"115 MAIN ST",WATERVILLE,IA,52170,43.214132,-91.296531,1,range_interpolation,115,"Main St",Waterville,IA,"Allamakee County",52170,US,"TIGER/Line® dataset from the US Census Bureau"
"234 N 4TH ST","HARPERS FERRY",IA,52146,43.199685,-91.15307,0.6,street_center,,"4th St","Harpers Ferry",IA,"Allamakee County",52146,US,"TIGER/Line® dataset from the US Census Bureau"
"377 MAIN ST",LANSING,IA,52151,43.361661,-91.217641,1,range_interpolation,377,"Main St",Lansing,IA,"Allamakee County",52151,US,"TIGER/Line® dataset from the US Census Bureau"
"137 RAILROAD AVE","NEW ALBIN",IA,52160,43.498725,-91.287463,1,range_interpolation,137,"Railroad Ave","New Albin",IA,"Allamakee County",52160,US,"TIGER/Line® dataset from the US Census Bureau"
