VAN_Precinct_Code,ObjectID,County,Short_Precinct_Name,Long_Precinct_Name,OrigPrctName1,OrigPrctName2
946557,868,Appanoose,Bl,Bellair/Lincoln,BELLAIR,Bellair/Lincoln
946558,877,Appanoose,Cv1,Centerville Ward 1,CENTER1,Centerville 1
946559,878,Appanoose,Cv2,Centerville Ward 2,CENTER2,Centerville 2
946560,879,Appanoose,Cv3,Centerville Ward 3,CENTER3,Centerville 3
946561,874,Appanoose,Cw,Caldwell Township,CALDWELL,Caldwell
946562,872,Appanoose,Jo,Johns/Independence,JOHNS,Johns/Independence
946563,871,Appanoose,Ps,Pleasant/Franklin,PLEASANT,Pleasant/Franklin
946564,869,Appanoose,Ty,Taylor/Chariton,TAYLOR,Taylor/Chariton
946565,875,Appanoose,Ud,Union / Udell Township,UDELL,Udell
946565,876,Appanoose,Ud,Union / Udell Township,UNION,Union
946567,870,Appanoose,Vm,Vermillion/Douglas/Sharon,VERMILLION,Vermillion/Douglas/Sharon
946569,873,Appanoose,Ws,Washington/Wells,WASHINGTON,Washington/Wells
946570,398,Audubon,1,Precinct One,AUDUBON,Audubon
946571,399,Audubon,2,Precinct Two,EXIRA,Exira
946574,1536,Benton,Bg,Big Grove-Union-Van Horne,BUV,Benton Cnty Big Grove/ Union/ Van Horne Pct
946575,1534,Benton,Bn,Benton-Canton-Shellsburg,BCS,Benton Cty Benton/ Canton/ Shellsburg Prnct
946576,1547,Benton,Bp1,Belle Plaine 1,BP1,Belle Plaine 2
946577,1546,Benton,Bp2,Belle Plaine 2,BP2,Belle Plaine 2
946578,1548,Benton,Bp3,Belle Plaine 3,BP3,Belle Plaine 3
946579,1535,Benton,Br,Bruce-Cedar-Mt Auburn,BCM,Benton Cnty Bruce/ Cedar/ Mt. Auburn Pct
946580,1537,Benton,Ed,Eden-Harrison-Taylor,EHT,Benton County Eden/ Harrison/ Taylor Pct
946581,1538,Benton,El,Eldorado-Newhall,EN,Benton County El Dorado/ Newhall Pct
946582,1539,Benton,Fl,Florence-St Clair-Norway,FSN,Benton County Florence/ St. Clair/ Norway P
946583,1540,Benton,Fr,Fremont-Atkins,FA,Benton County Fremont/ Adkins Precinct
946584,1541,Benton,Ho,Homer-Monroe-Jackson-Garrison,HMJG,Benton Cty Homer/ Monroe/ Jackson/ Garrison
946585,1542,Benton,Ia,Iowa-Leroy-Luzerne-Blairstown,ILLB,Benton Cty Iowa/ Leroy/ Luzerne/ Blairstown
946586,1543,Benton,Ka,Kane-Keystone,KK,Benton County Kane/ Keystone Precinct
946587,1544,Benton,Po,Polk-Urbana,PU,Benton County Polk/ Urbana Pct
946588,1549,Benton,Vt1,Vinton 1,VIN1,Vinton Precinct 1
946589,1550,Benton,Vt2,Vinton 2,VIN2,Vinton Precinct 2
946590,1551,Benton,Vt3,Vinton 3,VIN3,Vinton Precinct 3
946591,1552,Benton,Vt4,Vinton 4,VIN4,Vinton Precinct 4
946592,1545,Benton,Wa,Walford,WALFORD,Walford
946594,1411,Black Hawk,B000,Bennington,BENNINGTON,Black Hawk County Bennington Precinct
946600,640,Black Hawk,J100,Evansdale W1,EVANSDALE1,Evandale1
946601,641,Black Hawk,J200,Evansdale W2,EVANSDALE2,Evansdale 2
946602,642,Black Hawk,J300,Evansdale W3,EVANSDALE3,Evansdale 3
946603,643,Black Hawk,J400,Evansdale W4,EVANSDALE4,Evansdale 4
946606,1412,Black Hawk,N000,Mt Vernon,MOUNTVERNON,Black Hawk County Mount Vernon Precinct
946607,1413,Black Hawk,Ph01,Poyner P1 & East Wloo,POY1EASTWLOO,Black Hawk County Poyner 1/ East Waterloo
946608,1386,Black Hawk,Pk02,Poyner P2 Fox Gilbert Jesup,POY2FOX,Black Hawk Poyner 2/ Fox Precinct
946609,1414,Black Hawk,R000,Union,UNION,Black Hawk County Union Precinct
