name,district,members,population,house_dist,senate_district,congressional_district,area,geojson
Dickinson 6,DICKINSON6,1,576.00000000000,2.00000000000,1,4,35.87372200000,"{""type"":""Polygon"",""coordinates"":[[[-94.9139850001075,43.3414579997871],[-94.9139979998077,43.2985420001134],[-94.9137229997165,43.2550540001421],[-95.0328530003655,43.2553039999798],[-95.0329739996502,43.2723370003525],[-95.0326049997208,43.342166000061],[-94.991550000432,43.3422900003834],[-94.9139850001075,43.3414579997871]]]}"
Dickinson 7,DICKINSON7,1,212.00000000000,2.00000000000,1,4,29.88522000000,"{""type"":""Polygon"",""coordinates"":[[[-95.0328530003655,43.2553039999798],[-95.1319269997311,43.2554690003942],[-95.1420889998074,43.2556129998403],[-95.1424379997138,43.2555060003019],[-95.150239999776,43.2554779999099],[-95.1499760001921,43.2560730003688],[-95.1499679998232,43.2574269998563],[-95.1500000003995,43.3009379999889],[-95.150279999822,43.3089449996122],[-95.1501049998457,43.3136350000554],[-95.1470550003878,43.3136669997324],[-95.1470320002265,43.3164300003444],[-95.1484720000826,43.3164539996525],[-95.1484600004285,43.3166630002974],[-95.1468619995815,43.316670999767],[-95.1468489998813,43.3173450002717],[-95.145396000325,43.317349999603],[-95.1453249997488,43.3147700002355],[-95.1404590001825,43.3148040000048],[-95.1404869996751,43.3173660003408],[-95.1468590003424,43.3177490000165],[-95.1469120000886,43.318401000406],[-95.1441270002607,43.3183289997837],[-95.1447700002352,43.3204040001447],[-95.1469540002268,43.3203769997989],[-95.1469599996041,43.3206309998209],[-95.12969600027,43.3205559999596],[-95.1123380001984,43.3207530000511],[-95.1122899997835,43.3062529995764],[-95.0924139996063,43.306206000107],[-95.092419999883,43.3291959999956],[-95.0919689997694,43.3423709996221],[-95.0326049997208,43.342166000061],[-95.0329739996502,43.2723370003525],[-95.0328530003655,43.2553039999798]]]}"
Dickinson 8,DICKINSON8,1,3366.00000000000,2.00000000000,1,4,29.84701000000,"{""type"":""Polygon"",""coordinates"":[[[-95.150239999776,43.2554779999099],[-95.229552999771,43.2554549997486],[-95.2291089999802,43.2841389996153],[-95.2291219996804,43.3280070000232],[-95.2339890001921,43.3280019997926],[-95.2340589998228,43.3360700004304],[-95.2295200000478,43.3332030004183],[-95.2287739998201,43.3323099997069],[-95.2275330001477,43.3303160003833],[-95.2269379996888,43.3301069997384],[-95.2254169996946,43.3302049997611],[-95.2251079998342,43.3299529998312],[-95.2247339996742,43.3287609997205],[-95.2244599996291,43.3285639996291],[-95.2237720002774,43.3284929999522],[-95.2231349996803,43.3287090000205],[-95.2225240002822,43.3295079999943],[-95.222492999752,43.3298559998547],[-95.2220799995922,43.3301899999687],[-95.2216589999628,43.3302409996226],[-95.221336000356,43.3299749999464],[-95.2210729999189,43.3299970000617],[-95.2201600000838,43.3306749998515],[-95.2199159996235,43.3306290004282],[-95.2195820004088,43.3302669999223],[-95.2190500001572,43.3301190002918],[-95.2188669998121,43.3302289999685],[-95.2188249996739,43.3306139997364],[-95.2192860002486,43.3311259999651],[-95.2199480001999,43.3310469999193],[-95.2208630001272,43.3313430000796],[-95.2200890004069,43.3327130003049],[-95.220112999715,43.3344250001138],[-95.2209810001729,43.335267000272],[-95.2218200001927,43.3355089997407],[-95.2215589998478,43.3360599999692],[-95.221266999872,43.3359650000849],[-95.2204400004055,43.3364299999447],[-95.2201810001529,43.3362739999453],[-95.2202450004063,43.3365750003362],[-95.220030000384,43.3367199998283],[-95.2195760001321,43.3364819996447],[-95.2192270002257,43.3365969995521],[-95.2198449999466,43.3373999997104],[-95.2208050001505,43.3376189999171],[-95.2217289995935,43.3383159996838],[-95.2221019997074,43.338893000212],[-95.2225990001436,43.3392339997495],[-95.2243859998139,43.3396009995867],[-95.2253369996027,43.3403720000679],[-95.2261340003836,43.3402950001143],[-95.2267099999664,43.3406250000439],[-95.2270189998268,43.3415100003864],[-95.2263569998755,43.3424519997602],[-95.1685970000514,43.3424549998985],[-95.168653999982,43.3388770003734],[-95.1649059998119,43.3388570003505],[-95.1648239996277,43.3424610001752],[-95.1499720000077,43.3424549998985],[-95.1499420004228,43.3452579996571],[-95.1483479997602,43.3453300002794],[-95.1481810001529,43.3462129996304],[-95.1498699998005,43.3460999998153],[-95.1499330000078,43.3474500000177],[-95.1465919997208,43.3474459998332],[-95.143392999687,43.3534390001099],[-95.1317099996166,43.3533230001565],[-95.1316030000783,43.3569789996812],[-95.126170000445,43.3568839997969],[-95.1261670003067,43.3560520000999],[-95.126222000145,43.3533040001796],[-95.1315070001478,43.3533220001104],[-95.1314839999865,43.3426249996442],[-95.1316759998473,43.3423389999451],[-95.1253250001485,43.3425059995524],[-95.0919689997694,43.3423709996221],[-95.092419999883,43.3291959999956],[-95.0924139996063,43.306206000107],[-95.1122899997835,43.3062529995764],[-95.1123380001984,43.3207530000511],[-95.12969600027,43.3205559999596],[-95.1469599996041,43.3206309998209],[-95.1469540002268,43.3203769997989],[-95.1447700002352,43.3204040001447],[-95.1441270002607,43.3183289997837],[-95.1469120000886,43.318401000406],[-95.1468590003424,43.3177490000165],[-95.1404869996751,43.3173660003408],[-95.1404590001825,43.3148040000048],[-95.1453249997488,43.3147700002355],[-95.145396000325,43.317349999603],[-95.1468489998813,43.3173450002717],[-95.1468619995815,43.316670999767],[-95.1484600004285,43.3166630002974],[-95.1484720000826,43.3164539996525],[-95.1470320002265,43.3164300003444],[-95.1470550003878,43.3136669997324],[-95.1501049998457,43.3136350000554],[-95.150279999822,43.3089449996122],[-95.1500000003995,43.3009379999889],[-95.1499679998232,43.2574269998563],[-95.1499760001921,43.2560730003688],[-95.150239999776,43.2554779999099]]]}"
Dicksinon 9,DICKINSON9,1,162.00000000000,2.00000000000,1,4,48.19562500000,"{""type"":""Polygon"",""coordinates"":[[[-95.2263569998755,43.3424519997602],[-95.2270189998268,43.3415100003864],[-95.2267099999664,43.3406250000439],[-95.2261340003836,43.3402950001143],[-95.2253369996027,43.3403720000679],[-95.2243859998139,43.3396009995867],[-95.2225990001436,43.3392339997495],[-95.2221019997074,43.338893000212],[-95.2217289995935,43.3383159996838],[-95.2208050001505,43.3376189999171],[-95.2198449999466,43.3373999997104],[-95.2192270002257,43.3365969995521],[-95.2195760001321,43.3364819996447],[-95.220030000384,43.3367199998283],[-95.2202450004063,43.3365750003362],[-95.2201810001529,43.3362739999453],[-95.2204400004055,43.3364299999447],[-95.221266999872,43.3359650000849],[-95.2215589998478,43.3360599999692],[-95.2218200001927,43.3355089997407],[-95.2209810001729,43.335267000272],[-95.220112999715,43.3344250001138],[-95.2200890004069,43.3327130003049],[-95.2208630001272,43.3313430000796],[-95.2199480001999,43.3310469999193],[-95.2193290004329,43.3311459999881],[-95.218958999558,43.3308329999431],[-95.2188140000659,43.3304769997139],[-95.2190500001572,43.3301190002918],[-95.2195820004088,43.3302669999223],[-95.2199159996235,43.3306290004282],[-95.2201600000838,43.3306749998515],[-95.2210729999189,43.3299970000617],[-95.221336000356,43.3299749999464],[-95.2216589999628,43.3302409996226],[-95.2220799995922,43.3301899999687],[-95.2223979998677,43.3299830003154],[-95.2225800001667,43.3294190003867],[-95.2233499997026,43.3285429995599],[-95.2244599996291,43.3285639996291],[-95.2248670004116,43.3289250000889],[-95.2251619996264,43.3300560000845],[-95.2256569999704,43.3302419996687],[-95.2272860004484,43.3301390003148],[-95.2276370004471,43.3304250000139],[-95.2287739998201,43.3323099997069],[-95.2295200000478,43.3332030004183],[-95.2340589998228,43.3360700004304],[-95.2339890001921,43.3280019997926],[-95.2291219996804,43.3280070000232],[-95.2291089999802,43.2841389996153],[-95.229552999771,43.2554549997486],[-95.3880779995998,43.2552209997495],[-95.388078999646,43.2871140001112],[-95.3875899995787,43.3422369997379],[-95.2263569998755,43.3424519997602]]]}"
Lake/Freeman,LAFR,1,595.00000000000,2.00000000000,1,4,71.42756700000,"{""type"":""Polygon"",""coordinates"":[[[-95.0328530003655,43.2553039999798],[-94.9137229997165,43.2550540001421],[-94.9136720000626,43.1936719996632],[-94.9134440003402,43.1613330003179],[-94.9136049996708,43.15881300012],[-94.9135699998554,43.0830779996501],[-95.0330450002264,43.0835439995561],[-95.0330800000418,43.2032750000414],[-95.032971999558,43.2048529999661],[-95.0328939995583,43.2405199998983],[-95.0330179998807,43.2417679998935],[-95.0328530003655,43.2553039999798]]]}"
Waterford/Lone Tree,WFLT,1,992.00000000000,2.00000000000,1,4,70.83625800000,"{""type"":""Polygon"",""coordinates"":[[[-95.3880859999688,43.0841460003378],[-95.3877450004313,43.1274990003787],[-95.3882619999911,43.2203040002296],[-95.3880779995998,43.2552209997495],[-95.2692629999873,43.2553729995644],[-95.2692110002873,43.176297999753],[-95.269533999894,43.0838239998778],[-95.3189170001193,43.0838389996703],[-95.3880859999688,43.0841460003378]]]}"
Spencer 2,SPENCER2,1,2251.00000000000,2.00000000000,1,4,1.32612900000,"{""type"":""Polygon"",""coordinates"":[[[-95.1114180000405,43.1423540001372],[-95.1363670003366,43.1439120000389],[-95.1362860001986,43.1427110004125],[-95.1461950002989,43.1423289998836],[-95.1462999997451,43.1437879997166],[-95.1535569998555,43.1442660001759],[-95.1535690004089,43.146496999637],[-95.1553909998946,43.146496999637],[-95.1554020004019,43.1486180003207],[-95.1504610000749,43.1486200004128],[-95.1504670003516,43.1505939997135],[-95.141182000249,43.1509509999888],[-95.1412499997875,43.1519389996852],[-95.1349800002267,43.1521680003531],[-95.1333770000484,43.1542750003911],[-95.1335109999325,43.1561579999919],[-95.1214640001633,43.1562159999686],[-95.1212819998643,43.1493780002946],[-95.1115590002475,43.1492499997878],[-95.1114180000405,43.1423540001372]]]}"
Summit/Riverton/Sioux/Meadow,SRSM,1,1415.00000000000,2.00000000000,1,4,130.25973500000,"{""type"":""Polygon"",""coordinates"":[[[-95.2692629999873,43.2553729995644],[-95.150239999776,43.2554779999099],[-95.1424379997138,43.2555060003019],[-95.1420889998074,43.2556129998403],[-95.1319269997311,43.2554690003942],[-95.0328530003655,43.2553039999798],[-95.0330179998807,43.2417679998935],[-95.0328939995583,43.2405199998983],[-95.032971999558,43.2048529999661],[-95.0330800000418,43.2032750000414],[-95.0330450002264,43.0835439995561],[-95.0724970002362,43.0836190003168],[-95.1711570002952,43.0833670003869],[-95.269533999894,43.0838239998778],[-95.2692110002873,43.176297999753],[-95.2692629999873,43.2553729995644]],[[-95.1605660002206,43.1307900001585],[-95.160590000428,43.1292120002338],[-95.1643120002984,43.129246000003],[-95.1643680001829,43.1269300002195],[-95.1676270002857,43.1269239999428],[-95.1676270002857,43.1256600001091],[-95.1660709995768,43.1256600001091],[-95.1661489995765,43.1192589999031],[-95.1608550000581,43.1192230000416],[-95.1609219995505,43.1122529996763],[-95.16301299975,43.1122939997684],[-95.1630670004416,43.1050710003266],[-95.1610720001725,43.1050759996578],[-95.1610449998267,43.1063619996067],[-95.1580730003685,43.1064140002061],[-95.1579700001153,43.1085990002438],[-95.1511599999339,43.1086259996903],[-95.1512179999106,43.1096310001707],[-95.148972999804,43.1096110001477],[-95.1488989999887,43.1122220000454],[-95.1428000002197,43.1122430001145],[-95.1422150002219,43.1221639998689],[-95.1212229998414,43.1224030000985],[-95.1212379996338,43.1239070002081],[-95.1174470001787,43.123926000185],[-95.116832999743,43.1248080003891],[-95.1125550003129,43.1251920001109],[-95.1125570004051,43.1258010003161],[-95.1127939996432,43.1259409995776],[-95.1142720003524,43.1256040002246],[-95.1159300003691,43.1255810000633],[-95.1178780002693,43.1252399996264],[-95.1212039998646,43.1251560002494],[-95.1212809998181,43.1417950004391],[-95.1114030002481,43.1416580004166],[-95.1115590002475,43.1492499997878],[-95.1212819998643,43.1493780002946],[-95.1215359998864,43.1630900004034],[-95.131591999571,43.162914000381],[-95.1317080004237,43.16560000014],[-95.1417169997396,43.1655280004171],[-95.141588000086,43.1836489997017],[-95.1484309999905,43.1837279997475],[-95.1502769996836,43.1836119997941],[-95.1513380000485,43.1871750004261],[-95.1512660003255,43.1908669998124],[-95.1506889997974,43.1908619995818],[-95.150694000028,43.1981179996461],[-95.1551949998492,43.1981999998303],[-95.1554530000558,43.1631929997573],[-95.1702499998375,43.1632339998494],[-95.170263000437,43.1610069996735],[-95.1720340002688,43.1610139999963],[-95.172018999577,43.1556190003168],[-95.1747260003045,43.1556800004319],[-95.1746939997282,43.1584820001444],[-95.1761339995842,43.158469999591],[-95.1781469997841,43.157972000008],[-95.1791179995959,43.1574399997564],[-95.1789879998962,43.1567720004276],[-95.1793349997103,43.1564520000599],[-95.1805239996827,43.1561870004299],[-95.18133500021,43.155824999924],[-95.1873309997257,43.155956999716],[-95.1872379999336,43.1571980002876],[-95.1868300000044,43.1571950001493],[-95.1867479998202,43.1584460002829],[-95.1904380000136,43.1584759998677],[-95.1904549998982,43.1560250001538],[-95.1920210001689,43.1560589999231],[-95.1900760004069,43.1692199998033],[-95.2005290004129,43.1692250000339],[-95.2025039997596,43.1565560003593],[-95.2028050001505,43.1496959996708],[-95.2018720002924,43.1496219998556],[-95.2018579996468,43.1492289997187],[-95.1914590003324,43.1480110002076],[-95.1909949996194,43.1415439996561],[-95.1958779999696,43.1415360001864],[-95.1964429999443,43.1480619998616],[-95.2018540003617,43.1486170002745],[-95.2012709995568,43.1415279998175],[-95.2015800003166,43.1415269997714],[-95.2015669997171,43.1379219999005],[-95.1859810004227,43.1379070001082],[-95.1858980001924,43.1415190003018],[-95.17422599973,43.1430699998808],[-95.1705209997442,43.1428400000661],[-95.1704710001364,43.1411680003031],[-95.1628670002117,43.1410850000728],[-95.1629650002344,43.1393480000104],[-95.1627150003968,43.1393910001947],[-95.1623650004443,43.139810999778],[-95.1619949995694,43.1397610001702],[-95.1614309996407,43.1392130000801],[-95.1614899996636,43.1382729998992],[-95.1604809998981,43.1382430003144],[-95.1606779999896,43.1347999998203],[-95.1605660002206,43.1307900001585]]]}"
Marion 4,MARION4,1,2225.00000000000,68.00000000000,34,1,0.53999600000,"{""type"":""Polygon"",""coordinates"":[[[-91.599165999611,42.0113990002638],[-91.5995260000248,42.0183190001219],[-91.599316000233,42.0189189999121],[-91.5982230001912,42.0202890001374],[-91.5980630000073,42.0232340001492],[-91.5980989998688,42.0281209997845],[-91.5889269995812,42.0280829998308],[-91.5888349998352,42.0151729998342],[-91.5884580004362,42.0140649999999],[-91.5937879998162,42.014046000023],[-91.5936800002317,42.0113950000793],[-91.599165999611,42.0113990002638]]]}"
Logan/Gillett Grove,LGGG,1,498.00000000000,2.00000000000,1,4,72.60054000000,"{""type"":""Polygon"",""coordinates"":[[[-95.0330450002264,43.0835439995561],[-94.9135699998554,43.0830779996501],[-94.9137530002006,43.0733299997798],[-94.9136509999935,43.0391710001417],[-94.9138639999235,42.9957939998934],[-95.0224699999903,42.9958020002622],[-95.0728729995891,42.9959350001004],[-95.0816119996939,42.9960839997769],[-95.0926529998359,42.9959089998007],[-95.1514210002788,42.9957860004237],[-95.151192999657,43.0682340003989],[-95.1513499997026,43.0833579999719],[-95.0724970002362,43.0836190003168],[-95.0330450002264,43.0835439995561]]]}"
