,County,Yang SDE,Position,Yang (%)
57,Louisa,0.7,4.0,13.999999999999998
0,Adair,0.5491,4.0,13.726127387261275
43,Henry,1.1333,5.0,11.486109844223499
61,Mahaska,0.8,5.0,10.0
97,Worth,0.4,6.0,8.0
19,Clarke,0.32,5.0,8.0
94,Winnebago,0.45,6.0,7.6923076923076925
101,CD2 Satellite,0.8243,4.0,7.493568240288726
38,Guthrie,0.4286,6.0,7.143690517859226
86,Taylor,0.2,6.0,6.666666666666667
10,Buena Vista,0.6,6.0,6.666666666666667
83,Sioux,0.4375,6.0,6.249999999999999
44,Howard,0.2858,5.0,5.715085586306191
2,Allamakee,0.3889,6.0,5.555317477323048
77,Pottawattamie,2.16,6.0,4.500000000000001
75,Pocahontas,0.12,6.0,4.0
17,Cherokee,0.2182,6.0,3.7037037037037033
58,Lucas,0.1454,6.0,3.635090877271932
95,Winneshiek,0.512,6.0,3.2
9,Buchanan,0.4105,7.0,3.157959519651663
49,Jasper,0.69,6.0,3.0
53,Keokuk,0.1143,6.0,2.941176470588235
55,Lee,0.56,6.0,2.666666666666667
28,Des Moines,0.72,6.0,2.6666666666666665
103,CD4 Satellite,0.0993,5.0,2.5089696295921975
84,Story,2.075,6.0,2.5
87,Union,0.15,6.0,2.5
23,Crawford,0.15,6.0,2.5
65,Mitchell,0.15,6.0,2.5
74,Plymouth,0.225,6.0,2.5
85,Tama,0.2588,6.0,2.3528556103060168
62,Marion,0.36,6.0,2.0
70,O'Brien,0.0727,8.0,1.8174545636359092
80,Sac,0.0667,6.0,1.6673749468789842
11,Butler,0.1167,6.0,1.6672143091846794
37,Grundy,0.1,6.0,1.6666666666666667
89,Wapello,0.27,5.0,1.5000000000000004
48,Jackson,0.1714,6.0,1.4284404663683108
3,Appanoose,0.08,6.0,1.3333333333333335
96,Woodbury,0.6375,6.0,1.2448132780082988
20,Clay,0.0941,6.0,1.1902352643561855
34,Franklin,0.0556,7.0,1.1119110471162308
13,Carroll,0.11,6.0,1.0
32,Fayette,0.12,7.0,0.9999999999999999
6,Black Hawk,0.808,6.0,0.7968127490039842
22,Clinton,0.2214,6.0,0.7141866369035138
69,Muscatine,0.1667,6.0,0.6712625534553712
81,Scott,0.8266,6.0,0.6644091011025526
16,Cerro Gordo,0.1771,6.0,0.5713069089102587
99,Out of State Satellite,0.0216,6.0,0.5388818202230372
93,Webster,0.0833,7.0,0.4147766032136473
30,Dubuque,0.2667,6.0,0.3690532200481554
56,Linn,0.4395,6.0,0.23254349674518465
102,CD3 Satellite,0.0345,6.0,0.19057298945496126
76,Polk,0.2798,7.0,0.07147962830593281
68,Montgomery,0.0,7.0,0.0
18,Chickasaw,0.0,8.0,0.0
78,Poweshiek,0.0,7.0,0.0
27,Delaware,0.0,7.0,0.0
50,Jefferson,0.0,7.0,0.0
36,Greene,0.0,7.0,0.0
14,Cass,0.0,6.0,0.0
41,Hardin,0.0,6.0,0.0
54,Kossuth,0.0,7.0,0.0
67,Monroe,0.0,7.0,0.0
40,Hancock,0.0,6.0,0.0
66,Monona,0.0,7.0,0.0
15,Cedar,0.0,6.0,0.0
42,Harrison,0.0,6.0,0.0
7,Boone,0.0,7.0,0.0
31,Emmet,0.0,7.0,0.0
25,Davis,0.0,6.0,0.0
8,Bremer,0.0,7.0,0.0
100,CD1 Satellite,0.0,7.0,0.0
45,Humboldt,0.0,6.0,0.0
5,Benton,0.0,6.0,0.0
47,Iowa,0.0,6.0,0.0
12,Calhoun,0.0,6.0,0.0
88,Van Buren,0.0,5.0,0.0
46,Ida,0.0,5.0,0.0
73,Palo Alto,0.0,6.0,0.0
72,Page,0.0,6.0,0.0
71,Osceola,0.0,6.0,0.0
64,Mills,0.0,6.0,0.0
4,Audubon,0.0,6.0,0.0
60,Madison,0.0,6.0,0.0
59,Lyon,0.0,6.0,0.0
79,Ringgold,0.0,6.0,0.0
82,Shelby,0.0,6.0,0.0
1,Adams,0.0,6.0,0.0
98,Wright,0.0,6.0,0.0
92,Wayne,0.0,6.0,0.0
91,Washington,0.0,6.0,0.0
90,Warren,0.0,6.0,0.0
52,Jones,0.0,6.0,0.0
51,Johnson,0.0,6.0,0.0
24,Dallas,0.0,6.0,0.0
29,Dickinson,0.0,6.0,0.0
33,Floyd,0.0,6.0,0.0
21,Clayton,0.0,6.0,0.0
35,Fremont,0.0,6.0,0.0
26,Decatur,0.0,6.0,0.0
39,Hamilton,0.0,6.0,0.0
63,Marshall,0.0,8.0,0.0
