,County,Precinct,Bennet First Expression,Bennet Final Expression,Bennet SDE,Biden First Expression,Biden Final Expression,Biden SDE,Bloomberg First Expression,Bloomberg Final Expression,Bloomberg SDE,Buttigieg First Expression,Buttigieg Final Expression,Buttigieg SDE,Delaney First Expression,Delaney Final Expression,Delaney SDE,Gabbard First Expression,Gabbard Final Expression,Gabbard SDE,Klobuchar First Expression,Klobuchar Final Expression,Klobuchar SDE,Patrick First Expression,Patrick Final Expression,Patrick SDE,Sanders First Expression,Sanders Final Expression,Sanders SDE,Steyer First Expression,Steyer Final Expression,Steyer SDE,Warren First Expression,Warren Final Expression,Warren SDE,Yang First Expression,Yang Final Expression,Yang SDE,Other First Expression,Other Final Expression,Other SDE,Uncommitted First Expression,Uncommitted Final Expression,Uncommitted SDE
5,Adair,Total,0,0,0,36,22,0.3922,0,0,0.0,34,41,0.7059,0,0,0,0,0,0.0,50,58,0.8629,0,0,0,45,53,0.9412,8,7,0.1569,28,18,0.3922,28,29,0.5491,0,0,0.0,0,0,0.0
11,Adams,Total,0,0,0,30,31,0.7714,0,0,0.0,18,18,0.5142,0,0,0,0,0,0.0,23,24,0.7713,0,0,0,21,19,0.5142,0,0,0.0,16,15,0.4285,0,0,0.0,0,0,0.0,0,0,0.0
23,Allamakee,Total,1,0,0,69,59,1.0112,0,0,0.0,151,173,2.4889,0,0,0,3,0,0.0,79,97,1.4001,0,0,0,73,83,1.089,28,9,0.0778,56,46,0.5446,37,23,0.3889,0,2,0.0,4,4,0.0
36,Appanoose,Total,0,0,0,86,102,1.84,0,0,0.0,122,143,2.32,0,0,0,1,0,0.0,32,24,0.48,0,0,0,63,59,0.96,15,12,0.24,35,7,0.08,4,4,0.08,0,0,0.0,2,8,0.0
39,Audubon,Total,0,0,0,45,61,0.9,0,0,0.0,31,31,0.4,0,0,0,0,0,0.0,42,55,0.9,0,0,0,31,35,0.5,11,0,0.0,32,21,0.3,9,0,0.0,0,0,0.0,2,0,0.0
59,Benton,Total,0,0,0,226,245,4.65,0,0,0.0,194,228,4.35,0,0,0,3,0,0.0,93,82,1.5,0,0,0,159,179,3.525,22,0,0.0,94,65,0.975,17,1,0.0,1,0,0.0,4,3,0.0
122,Black Hawk,Total,2,0,0,1042,1005,17.574,5,0,0.0,1429,1636,22.826,0,0,0,22,0,0.0,824,768,10.302,1,0,0,1968,2168,31.714,203,43,0.808,1238,1255,17.372,333,43,0.808,3,2,0.0,25,14,0.0
138,Boone,Total,3,0,0,148,107,1.52,1,2,0.0,363,436,5.89,0,0,0,0,0,0.0,178,172,2.28,0,0,0,305,339,5.32,38,18,0.19,235,257,3.8,79,14,0.0,0,0,0.0,6,6,0.0
152,Bremer,Total,0,0,0,210,195,3.1734,0,0,0.0,369,412,5.6667,0,0,0,1,0,0.0,196,195,2.72,0,0,0,189,170,1.5868,24,8,0.0,247,288,3.6268,47,1,0.0,0,2,0.0,9,18,0.2267
168,Buchanan,Total,0,0,0,213,226,3.8314,0,0,0.0,189,188,3.5578,0,0,0,1,0,0.0,116,121,2.1892,0,0,0,108,88,1.5049,10,9,0.1368,69,49,0.8209,44,30,0.4105,0,1,0.0,12,34,0.5474
179,Buena Vista,Total,0,0,0,109,113,1.8,0,0,0.0,104,98,1.6,0,0,0,1,0,0.0,52,59,1.2,0,0,0,114,128,2.4,13,9,0.2,86,84,1.2,64,36,0.6,0,0,0.0,2,0,0.0
188,Butler,Total,0,0,0,87,86,1.3999,0,0,0.0,77,83,1.2832,0,0,0,1,0,0.0,65,67,1.1666,0,0,0,103,109,1.75,4,0,0.0,69,68,1.2833,14,10,0.1167,0,0,0.0,8,5,0.0
199,Calhoun,Total,0,0,0,51,51,1.0,1,0,0.0,87,101,2.0,0,0,0,1,0,0.0,30,28,0.5833,0,0,0,35,37,0.75,1,0,0.0,44,34,0.6666,4,0,0.0,0,0,0.0,1,3,0.0
213,Carroll,Total,0,0,0,155,158,2.75,1,1,0.0,161,198,3.74,0,0,0,0,0,0.0,113,120,1.98,0,0,0,92,87,1.43,6,0,0.0,70,51,0.99,17,7,0.11,0,0,0.0,9,1,0.0
227,Cass,Total,0,0,0,79,83,1.32,1,0,0.0,92,99,1.8,0,0,0,0,0,0.0,54,52,0.84,0,0,0,63,62,0.84,2,0,0.0,71,75,1.2,10,0,0.0,0,0,0.0,4,2,0.0
240,Cedar,Total,1,0,0,109,96,1.5428,2,0,0.0,203,205,3.0857,0,0,0,2,0,0.0,134,156,2.3999,0,0,0,205,211,2.7426,14,0,0.0,160,155,2.2285,14,0,0.0,0,0,0.0,5,0,0.0
267,Cerro Gordo,Total,0,0,0,319,323,5.4913,7,0,0.0,433,530,9.3885,0,0,0,6,0,0.0,383,425,7.4398,0,0,0,375,389,6.7312,17,1,0.0,175,111,1.7712,113,16,0.1771,0,0,0.0,7,11,0.0
275,Cherokee,Total,0,0,0,68,78,1.5274,0,0,0.0,53,56,1.2001,0,0,0,0,0,0.0,42,37,0.8728,0,0,0,67,68,1.6365,6,4,0.1091,18,12,0.3273,11,11,0.2182,0,0,0.0,1,0,0.0
289,Chickasaw,Total,0,0,0,85,89,1.54,1,0,0.0,107,126,2.31,0,0,0,0,0,0.0,53,57,1.05,0,0,0,36,25,0.49,27,17,0.35,61,67,1.19,9,0,0.0,0,0,0.0,10,6,0.07
297,Clarke,Total,0,0,0,40,31,0.56,0,0,0.0,58,63,1.04,0,0,0,0,0,0.0,38,60,0.88,0,0,0,56,58,0.88,8,0,0.0,33,16,0.32,22,26,0.32,0,0,0.0,0,0,0.0
310,Clay,Total,1,0,0,122,133,2.1647,1,0,0.0,104,118,1.9766,0,0,0,0,0,0.0,86,94,1.4118,0,0,0,104,101,1.6001,2,0,0.0,74,52,0.6587,20,6,0.0941,0,0,0.0,0,1,0.0
325,Clayton,Total,0,0,0,110,104,1.6668,0,0,0.0,217,232,3.8336,0,0,0,1,0,0.0,114,141,2.3335,0,0,0,105,117,1.8334,23,0,0.0,56,18,0.3334,3,0,0.0,1,8,0.0,8,12,0.0
352,Clinton,Total,0,0,0,364,406,7.75,7,4,0.0,384,468,8.8572,0,0,0,4,0,0.0,197,177,3.3214,0,0,0,376,421,7.7502,53,16,0.0,232,170,3.1001,91,10,0.2214,0,0,0.0,15,10,0.0
361,Crawford,Total,0,0,0,103,120,2.4,0,0,0.0,52,53,0.9,0,0,0,1,0,0.0,29,34,0.75,0,0,0,90,83,1.5,4,0,0.0,20,17,0.3,27,21,0.15,0,0,0.0,3,0,0.0
396,Dallas,Total,4,0,0,1061,1085,11.6004,6,1,0.0,1639,1926,19.8864,0,0,0,2,0,0.0,759,655,7.0431,0,0,0,913,840,8.286,60,4,0.0,1041,1159,11.1861,289,48,0.0,7,0,0.0,23,10,0.0
405,Davis,Total,0,0,0,54,56,0.84,1,0,0.0,50,58,1.02,0,0,0,1,1,0.0,28,26,0.39,0,0,0,30,22,0.36,4,0,0.0,22,29,0.39,2,1,0.0,0,0,0.0,0,0,0.0
413,Decatur,Total,1,0,0,36,17,0.4706,0,0,0.0,76,82,1.2707,0,0,0,3,0,0.0,47,65,0.5648,0,0,0,67,78,0.9413,8,0,0.0,71,77,0.8,10,0,0.0,2,2,0.0,1,1,0.0
426,Delaware,Total,0,0,0,101,90,1.875,0,0,0.0,97,110,2.475,0,0,0,0,0,0.0,84,100,2.175,0,0,0,41,19,0.375,27,9,0.15,79,90,1.95,1,0,0.0,0,0,0.0,3,6,0.0
443,Des Moines,Total,3,0,0,333,294,5.04,0,0,0.0,528,631,9.72,0,0,0,4,0,0.0,170,136,1.44,0,0,0,373,398,6.48,28,0,0.0,272,284,3.6,119,40,0.72,2,0,0.0,14,14,0.0
459,Dickinson,Total,0,0,0,146,158,2.25,0,0,0.0,178,199,3.0,0,0,0,0,0,0.0,111,118,1.875,0,0,0,109,118,2.0,13,0,0.0,91,57,0.875,18,7,0.0,0,0,0.0,0,4,0.0
495,Dubuque,Total,1,0,0,1098,1187,16.7997,4,0,0.0,1205,1451,21.5999,0,0,0,20,1,0.0,575,446,6.1334,0,0,0,1164,1128,16.5333,77,0,0.0,800,807,10.933,204,26,0.2667,4,6,0.0,26,26,0.0
507,Emmet,Total,3,0,0,41,33,0.6858,0,0,0.0,49,68,1.143,0,0,0,0,0,0.0,45,39,0.5715,0,0,0,63,60,0.8001,23,25,0.3429,27,28,0.4572,5,0,0.0,0,0,0.0,4,0,0.0
533,Fayette,Total,0,0,0,160,172,2.64,0,0,0.0,243,286,4.32,0,0,0,2,0,0.0,93,82,1.32,0,0,0,109,103,1.8,25,14,0.36,99,89,1.44,30,7,0.12,0,0,0.0,7,7,0.0
542,Floyd,Total,0,0,0,126,123,2.2221,2,0,0.0,128,139,2.3331,0,0,0,0,0,0.0,125,141,2.3331,0,0,0,82,81,1.5554,5,0,0.0,98,100,1.5554,23,0,0.0,0,0,0.0,5,6,0.0
555,Franklin,Total,0,0,0,46,45,1.0001,0,0,0.0,61,65,1.2778,0,0,0,0,0,0.0,37,39,0.889,0,0,0,63,72,1.2779,7,3,0.1111,27,19,0.3889,7,3,0.0556,0,0,0.0,0,0,0.0
561,Fremont,Total,1,0,0,39,44,0.675,0,0,0.0,46,51,0.825,0,0,0,0,0,0.0,35,39,0.6,0,0,0,36,44,0.75,0,0,0.0,22,4,0.15,1,0,0.0,0,0,0.0,2,0,0.0
569,Greene,Total,2,0,0,54,53,0.72,1,0,0.0,99,112,2.04,0,0,0,0,0,0.0,62,76,1.2,0,0,0,82,94,1.8,10,5,0.12,34,16,0.12,15,2,0.0,0,0,0.0,3,0,0.0
577,Grundy,Total,0,0,0,63,74,1.2,0,0,0.0,86,99,1.7,0,0,0,3,0,0.0,58,65,1.2,1,0,0,75,90,1.3,11,0,0.0,41,23,0.4,22,6,0.1,0,0,0.0,8,4,0.1
586,Guthrie,Total,1,0,0,54,40,0.6856,0,0,0.0,77,82,1.6286,0,0,0,0,0,0.0,84,96,1.5428,0,0,0,43,30,0.5142,14,0,0.0,65,71,1.1999,14,29,0.4286,1,0,0.0,5,1,0.0
595,Hamilton,Total,0,0,0,99,107,1.9,1,0,0.0,147,162,2.7,0,0,0,0,0,0.0,77,74,1.2,0,0,0,91,95,1.5,12,0,0.0,103,101,1.7,4,0,0.0,1,0,0.0,8,2,0.0
606,Hancock,Total,0,0,0,38,41,0.8,0,0,0.0,77,85,1.7,0,0,0,0,0,0.0,61,70,1.2,0,0,0,49,46,0.9,2,0,0.0,29,20,0.4,10,0,0.0,2,0,0.0,0,1,0.0
615,Hardin,Total,0,0,0,106,96,1.584,0,0,0.0,149,164,2.736,0,0,0,0,0,0.0,98,102,1.8,0,0,0,90,89,1.368,12,0,0.0,89,104,1.512,14,0,0.0,0,0,0.0,0,2,0.0
629,Harrison,Total,0,0,0,74,76,1.4,0,0,0.0,101,108,1.8666,0,0,0,0,0,0.0,61,60,0.9333,0,0,0,97,106,2.0532,2,0,0.0,57,53,0.84,14,0,0.0,0,0,0.0,7,1,0.0
639,Henry,Total,1,0,0,114,117,1.6667,1,0,0.0,166,186,2.8,0,0,0,2,0,0.0,57,51,0.7333,0,0,0,150,151,2.3334,10,0,0.0,97,86,1.2,82,69,1.1333,0,0,0.0,8,0,0.0
649,Howard,Total,0,0,0,37,37,1.0001,0,0,0.0,74,86,1.7145,0,0,0,0,0,0.0,44,39,0.7144,0,0,0,46,49,0.8573,4,4,0.1429,28,21,0.2858,37,24,0.2858,0,0,0.0,0,0,0.0
659,Humboldt,Total,0,0,0,66,73,1.2446,2,0,0.0,66,66,1.2446,0,0,0,0,0,0.0,45,52,0.8001,0,0,0,25,24,0.3556,5,0,0.0,26,21,0.3556,3,1,0.0,0,0,0.0,4,0,0.0
667,Ida,Total,0,0,0,42,48,0.9,0,0,0.0,42,58,1.2,0,0,0,0,0,0.0,25,25,0.45,0,0,0,22,12,0.45,4,0,0.0,10,1,0.0,1,0,0.0,0,0,0.0,1,1,0.0
679,Iowa,Total,0,0,0,122,131,2.0,1,0,0.0,145,171,2.6,0,0,0,2,1,0.0,76,38,0.4,0,0,0,168,173,2.4,20,0,0.0,145,170,2.6,21,0,0.0,0,0,0.0,1,1,0.0
696,Jackson,Total,0,0,0,178,194,3.0854,1,0,0.0,231,256,3.7713,0,0,0,2,0,0.0,102,90,1.8857,0,0,0,119,85,1.3712,9,8,0.1714,103,111,1.5427,21,14,0.1714,0,1,0.0,15,9,0.0
717,Jasper,Total,1,0,0,265,288,4.6,4,0,0.0,449,517,7.705,0,0,0,7,0,0.0,162,113,1.495,0,0,0,319,342,5.06,52,17,0.23,230,228,3.22,77,45,0.69,5,0,0.0,11,6,0.0
